DateId,Date,Day,Month,Year,Quarter
1,20050701,01,07,2005,3
2,20190508,08,05,2019,2
3,20041001,01,10,2004,4
4,20040701,01,07,2004,3
5,20190331,31,03,2019,1
6,20040301,01,03,2004,1
7,20190531,31,05,2019,2
8,20031101,01,11,2003,4
9,20191008,08,10,2019,4
10,20031201,01,12,2003,4
11,20190327,27,03,2019,1
12,20040201,01,02,2004,1
13,20200213,13,02,2020,1
14,20190610,10,06,2019,2
15,20050501,01,05,2005,2
16,20190504,04,05,2019,2
17,20040101,01,01,2004,1
18,20190601,01,06,2019,2
19,20030901,01,09,2003,3
20,20191007,07,10,2019,4
21,20040401,01,04,2004,2
22,20200217,17,02,2020,1
23,20021101,01,11,2002,4
24,20190228,28,02,2019,1
25,20040601,01,06,2004,2
26,20200221,21,02,2020,1
27,20040801,01,08,2004,3
28,20190528,28,05,2019,2
29,20191119,19,11,2019,4
30,20191025,25,10,2019,4
31,20050301,01,03,2005,1
32,20190509,09,05,2019,2
33,20191011,11,10,2019,4
34,20190507,07,05,2019,2
35,20040901,01,09,2004,3
36,20190503,03,05,2019,2
37,20041201,01,12,2004,4
38,20190506,06,05,2019,2
39,20030201,01,02,2003,1
40,20190329,29,03,2019,1
41,20050801,01,08,2005,3
42,20190520,20,05,2019,2
43,20050101,01,01,2005,1
44,20020901,01,09,2002,3
45,20190227,27,02,2019,1
46,20200219,19,02,2020,1
47,20191020,20,10,2019,4
48,20040501,01,05,2004,2
49,20190825,25,08,2019,3
50,20050601,01,06,2005,2
51,20190519,19,05,2019,2
52,20050401,01,04,2005,2
53,20030101,01,01,2003,1
54,20190424,24,04,2019,2
55,20190313,13,03,2019,1
56,20191211,11,12,2019,4
57,20190220,20,02,2019,1
58,20200315,15,03,2020,1
59,20190202,02,02,2019,1
60,20190206,06,02,2019,1
61,20031001,01,10,2003,4
62,20191212,12,12,2019,4
63,20200115,15,01,2020,1
64,20200116,16,01,2020,1
65,20200312,12,03,2020,1
66,20191122,22,11,2019,4
67,20190309,09,03,2019,1
68,20191210,10,12,2019,4
69,20190426,26,04,2019,2
70,20190201,01,02,2019,1
